"dept","siren","raison_sociale","nature_juridique","mode_financ","nb_membres","total_pop_tot","total_pop_mun","dep_com","insee","siren_membre","nom_membre","ptot_2023","pmun_2023","path"
"31",200034957,"CC du Frontonnais","CC","FPU",10,28194,27716,"31","31118",213101181,"Castelnau-d'Estrétefonds",6796,6689,"m 1.3162825,42.81978 -0.016082,-0.0064 0.00287,-5.22e-4 0.00974,-5.29e-4 0.010808,0.0062 0.019076,-0.0093 0.00184,-0.0066 0.00432,-0.0052 0.012352,-0.0014 0.018065,-0.003 0.00574,-0.0054 0.013313,0.0088 0.00627,0.0091 -0.0018,0.0066 -0.012713,0.01365 -0.00751,0.01563 -0.0092,0.0076 0,0 -0.0095,-3.8e-4 -0.00688,-0.0026 -0.027958,-0.0081 z"
"31",200034957,"CC du Frontonnais","CC","FPU",10,28194,27716,"31","31202",213102023,"Fronton",6535,6413,"m 1.3792664,42.79301 -0.018065,0.003 -0.00561,-0.01922 -0.022774,-10e-4 -0.017194,0.0044 -0.011412,-0.01079 -0.00922,-0.0017 0.00573,-0.0051 0.019859,-0.0074 0.015885,0.0068 0.023559,-0.0012 0.00261,-0.0056 -0.01218,-0.01385 0.0069,-0.0041 -2.73e-4,-0.0065 0.00927,-0.007 0.025838,0.0079 0.00871,-0.0028 0.00888,0.0016 0.00951,0.01095 0.01287,0.0024 0.016748,-0.0041 0.00118,0.0032 -0.019436,0.01895 -0.00878,0.0032 -0.00506,0.0059 -0.0038,0.01398 0.00664,0.0091 0,0 -0.00303,0.0025 -0.018315,-1.73e-4 -0.013313,-0.0088 z"
"31",200034957,"CC du Frontonnais","CC","FPU",10,28194,27716,"31","31079",213100795,"Bouloc",4845,4754,"m 1.3999653,42.841416 -0.013893,-0.0024 -0.00351,0.0024 0.00751,-0.01563 0.012713,-0.01365 0.0018,-0.0066 -0.00627,-0.0091 0.018315,1.73e-4 0.00303,-0.0025 0.00791,5.79e-4 0.00438,0.0055 0.00816,-0.0025 0.012889,0.0018 0.00692,0.0053 0,0 -0.021511,0.02285 -0.016194,0.01194 -0.00932,-0.0015 z"
"31",200034957,"CC du Frontonnais","CC","FPU",10,28194,27716,"31","31136",213101363,"Cépet",2252,2224,"m 1.4276585,42.858401 0.00516,-0.0093 0.011339,-0.005 -0.00375,0.0124 0.00413,0.0058 0.012303,0.0036 -0.00954,0.01794 0,0 -0.014067,-0.002 -0.012894,-0.0098 0.00397,-0.0096 z"
"31",200034957,"CC du Frontonnais","CC","FPU",10,28194,27716,"31","31516",213105166,"Saint-Sauveur",1974,1940,"m 1.3907794,42.850876 0.00657,0.0047 0.013042,-0.0021 0.017272,0.0049 -0.00335,0.0041 -0.00426,-0.0015 -0.010209,0.01106 -0.013195,0.0027 -0.00636,0.0051 0,0 -0.011564,-0.02261 -0.01485,-0.0087 0.0095,3.8e-4 z"
"31",200034957,"CC du Frontonnais","CC","FPU",10,28194,27716,"31","31587",213105877,"Villeneuve-lès-Bouloc",1640,1629,"m 1.3733632,42.848948 0.0092,-0.0076 0.00351,-0.0024 0.013893,0.0024 0.012923,-0.0034 0.00932,0.0015 0.016194,-0.01194 0.021511,-0.02285 0.00143,2.13e-4 0.00749,0.0037 -0.010988,0.0064 -0.00675,0.0091 0.00605,0.01279 -0.00444,0.0056 -0.00855,0.0016 -0.011339,0.005 -0.00516,0.0093 0,0 -0.017272,-0.0049 -0.013042,0.0021 -0.00657,-0.0047 z"
"31",200034957,"CC du Frontonnais","CC","FPU",10,28194,27716,"31","31581",213105810,"Villaudric",1631,1599,"m 1.4196595,42.794055 -0.00664,-0.0091 0.0038,-0.01398 0.00506,-0.0059 0.00878,-0.0032 0.017817,0.0043 0.014278,0.01758 -0.00976,0.01569 0,0 -0.012889,-0.0018 -0.00816,0.0025 -0.00438,-0.0055 z"
"31",200034957,"CC du Frontonnais","CC","FPU",10,28194,27716,"31","31563",213105638,"Vacquiers",1370,1334,"m 1.468843,42.808699 0.00499,-0.0057 0.013804,-1.75e-4 0.025666,-0.0062 -8.694e-4,0.0034 0.010943,0.0065 -0.025289,0.02465 -7.81e-5,0.007 0.00477,0.006 -0.00458,-0.0012 -0.015363,0.0085 0,0 -0.025687,-0.01448 -0.00605,-0.01279 0.00675,-0.0091 z"
"31",200034957,"CC du Frontonnais","CC","FPU",10,28194,27716,"31","31211",213102114,"Gargas",711,703,"m 1.4404094,42.856535 0.00375,-0.0124 0.00855,-0.0016 0.00444,-0.0056 0.025687,0.01448 -0.00818,0.01046 0,0 -0.00607,0.0085 -0.01175,-0.0044 -0.012303,-0.0036 z"
"31",200034957,"CC du Frontonnais","CC","FPU",10,28194,27716,"31","31515",213105158,"Saint-Rustice",440,431,"m 1.327483,42.804666 0.017044,-0.002 0,0 -0.00184,0.0066 -0.019076,0.0093 -0.010808,-0.0062 z"
"31",200066819,"CC du Volvestre","CC","FA",32,31175,30567,"31","31107",213101074,"Carbonne",5954,5841,"m 1.2242727,43.332106 -0.015048,0.006 -0.021053,-0.0061 0.00246,-0.0055 -0.00763,-0.0067 0.00639,-0.009 -0.00385,-0.0093 0.01867,-0.01338 0.00439,-0.0056 -0.0036,-0.0019 0.013374,-0.0088 0.012845,-8.41e-4 0.0022,0.0029 -1.17e-5,0.0028 -0.00295,0.0206 0.0068,0.01648 0.00997,0.01141 0.013928,0.0024 0.00644,0.0081 0.012714,0.0022 0.00147,0.003 0,0 -0.00822,0.0023 -0.00687,-0.004 -0.00356,0.0019 z"
"31",200066819,"CC du Volvestre","CC","FA",32,31175,30567,"31","31303",213103039,"Longages",3250,3213,"m 1.1739918,43.254094 0.03728,-0.01909 0.00167,-0.0031 0.015761,0.0062 0.00814,-0.0017 0.014492,0.0076 0.00427,0.0091 -0.00735,0.01177 -0.014833,0.0088 -0.0022,-0.0029 -0.012845,8.41e-4 -0.013374,0.0088 0,0 -0.012072,-0.0088 -0.00851,-0.0066 -0.016588,-0.0021 z"
"31",200066819,"CC du Volvestre","CC","FA",32,31175,30567,"31","31375",213103757,"Montesquieu-Volvestre",3160,3109,"m 1.1842162,43.456245 -0.00662,-0.01159 0.01404,8.79e-4 0.00949,-0.0156 -0.019941,-0.0089 -0.011911,0.0056 -1.373e-4,0.0104 -0.00392,-0.0016 -0.00526,-0.01224 0.00679,-0.01037 0.00945,-6.73e-4 0.00687,-0.01269 0.011507,-0.0065 -0.009,-0.0064 0.00119,-0.0068 0.00876,-0.0024 0.041214,-0.004 0.022833,0.0034 0.013326,0.009 0.00619,0.01252 -0.011646,0.005 -0.00432,0.01314 0.00439,0.0053 0.00179,7e-4 -0.014889,0.007 -0.00387,4.86e-4 -0.00512,-0.0057 -0.013942,0.0016 -0.00259,0.01338 -0.010807,0.01071 2.438e-4,0.0067 0.00657,0.0045 0.013827,0.0021 -0.010382,0.0064 -0.00621,0.0089 0.00423,0.0052 -0.00222,0.0098 -0.012229,0.0045 0,0 -0.012356,-0.01032 0.00401,-0.0017 -0.00124,-0.0033 z"
"31",200066819,"CC du Volvestre","CC","FA",32,31175,30567,"31","31399",213103997,"Noé",3001,2938,"m 1.2513319,43.244069 0.0079,0.0035 0.00402,-0.0017 0.00845,-0.0217 0.00616,0.003 -0.00377,0.0063 0.020864,0.01425 -0.00814,0.01405 -0.0092,0.0069 0,0 -0.013107,0.0028 -0.016252,-0.0066 0.00735,-0.01177 z"
"31",200066819,"CC du Volvestre","CC","FA",32,31175,30567,"31","31455",213104557,"Rieux-Volvestre",2684,2627,"m 1.168923,43.36536 -0.00362,-0.0098 0.00213,-0.003 0.011067,-0.0098 0.00826,-0.0024 0.00141,-0.0083 0.021053,0.0061 0.015048,-0.006 0.038854,0.0089 4.509e-4,0.0117 -0.024362,0.01417 -0.00247,0.0064 -0.041214,0.004 -0.00876,0.0024 -0.00119,0.0068 -0.015746,4.82e-4 0,0 -0.013447,-0.0076 -0.00243,-0.0066 0.00248,-0.0029 z"
"31",200066819,"CC du Volvestre","CC","FA",32,31175,30567,"31","31517",213105174,"Saint-Sulpice-sur-Lèze",2354,2293,"m 1.3234672,43.277254 0.00628,-0.0045 0.016151,0.0052 0.011197,0.0049 0.013838,-0.0067 0.00738,0.0035 0.00199,0.01248 -0.00448,0.0054 -0.00163,0.0056 -0.027531,-0.0053 -0.014197,0.0017 -0.00733,0.0044 0,0 -0.019283,-0.01049 9.16e-5,-0.01323 0.00388,-0.0018 z"
"31",200066819,"CC du Volvestre","CC","FA",32,31175,30567,"31","31334",213103344,"Mauzac",1351,1327,"m 1.2778642,43.227203 0.011949,-0.0048 0.011417,0.006 0.027478,0.0052 0.00397,0.0083 -0.00188,0.0058 0,0 -0.00359,0.0022 -0.032249,-0.002 -0.020864,-0.01425 z"
"31",200066819,"CC du Volvestre","CC","FA",32,31175,30567,"31","31261",213102619,"Lafitte-Vigordane",1245,1201,"m 1.1545129,43.293918 0.012892,-7.32e-4 0.01814,0.0082 0.00385,0.0093 -0.00639,0.009 -0.015301,0.0089 0,0 -0.02939,-0.01227 -0.00381,-0.0057 0.00695,-0.0065 z"
