dept;siren;raison_sociale;nature_juridique;mode_financ;nb_membres;total_pop_tot;total_pop_mun;dep_com;insee;siren_membre;nom_membre;ptot_2023;pmun_2023;;;
01;200029999;CC Rives de l'Ain - Pays du Cerdon;CC;FPU;14;14974;14664;01;01304;210103040;Pont-d'Ain;2957;2904;;;
01;200029999;CC Rives de l'Ain - Pays du Cerdon;CC;FPU;14;14974;14664;01;01199;210101994;Jujurieux;2173;2129;;;
01;200029999;CC Rives de l'Ain - Pays du Cerdon;CC;FPU;14;14974;14664;01;01363;210103636;Saint-Jean-le-Vieux;1859;1786;;;
01;200029999;CC Rives de l'Ain - Pays du Cerdon;CC;FPU;14;14974;14664;01;01273;210102737;Neuville-sur-Ain;1824;1799;;;
01;200029999;CC Rives de l'Ain - Pays du Cerdon;CC;FPU;14;14974;14664;01;01314;210103149;Priay;1756;1725;;;
01;200029999;CC Rives de l'Ain - Pays du Cerdon;CC;FPU;14;14974;14664;01;01303;210103032;Poncin;1735;1696;;;
01;200029999;CC Rives de l'Ain - Pays du Cerdon;CC;FPU;14;14974;14664;01;01068;210100681;Cerdon;788;771;;;
01;200029999;CC Rives de l'Ain - Pays du Cerdon;CC;FPU;14;14974;14664;01;01430;210104303;Varambon;648;636;;;
01;200029999;CC Rives de l'Ain - Pays du Cerdon;CC;FPU;14;14974;14664;01;01056;210100566;Boyeux-Saint-Jérôme;355;351;;;
01;200029999;CC Rives de l'Ain - Pays du Cerdon;CC;FPU;14;14974;14664;01;01200;210102000;Labalme;218;213;;;
01;200029999;CC Rives de l'Ain - Pays du Cerdon;CC;FPU;14;14974;14664;01;01077;210100772;Challes-la-Montagne;194;192;;;
01;200029999;CC Rives de l'Ain - Pays du Cerdon;CC;FPU;14;14974;14664;01;01331;210103313;Saint-Alban;193;192;;;
01;200029999;CC Rives de l'Ain - Pays du Cerdon;CC;FPU;14;14974;14664;01;01242;210102422;Mérignat;138;136;;;
01;200029999;CC Rives de l'Ain - Pays du Cerdon;CC;FPU;14;14974;14664;01;01404;210104048;Serrières-sur-Ain;136;134;;;
01;200040350;CC Bugey Sud;CC;FPU;42;35016;34106;01;01034;210100343;Belley;9550;9207;;;
01;200040350;CC Bugey Sud;CC;FPU;42;35016;34106;01;01138;200099406;Culoz-Béon;3494;3426;;;
01;200040350;CC Bugey Sud;CC;FPU;42;35016;34106;01;01036;200086411;Valromey-sur-Séran;1358;1334;;;
01;200040350;CC Bugey Sud;CC;FPU;42;35016;34106;01;01338;200060143;Groslée-Saint-Benoit;1279;1245;;;
01;200040350;CC Bugey Sud;CC;FPU;42;35016;34106;01;01022;210100228;Artemare;1229;1213;;;
01;200040350;CC Bugey Sud;CC;FPU;42;35016;34106;01;01098;200063121;Chazey-Bons;1213;1175;;;
01;200040350;CC Bugey Sud;CC;FPU;42;35016;34106;01;01061;210100616;Brens;1166;1133;;;
01;200040350;CC Bugey Sud;CC;FPU;42;35016;34106;01;01452;210104527;Virieu-le-Grand;1151;1127;;;
